,Date,Product_Name,PDP_Views,Orders,add_to_cart,Revenue,Quantity
62,2022-07-04,1950S SPORTSWEAR Tシャツ WOOD THRUSH,15.0,0.0,0.0,0.0,0.0
63,2022-07-04,SUNSET 1ポケットシャツ STANDARD ALLURE,3.0,0.0,0.0,0.0,0.0
64,2022-07-04,502™ RUNYON,2.0,0.0,0.0,0.0,0.0
65,2022-07-04,505™ レギュラーストレート TAOS MIU,49.0,0.0,0.0,0.0,0.0
66,2022-07-04,NEW STANDARD SHIRT PURSER MULTI,7.0,0.0,0.0,0.0,0.0
67,2022-07-04,721™ SLALOM,4.0,0.0,0.0,0.0,0.0
68,2022-07-04,CROP BOOT JAZZ ICON,21.0,0.0,1.0,0.0,0.0
69,2022-07-04,RCI X LEVIS DUCK CANVAS TYPE II TRUCKER JACKET IN FOREST GREEN,407.0,2.0,7.0,502.809594,2.0
70,2022-07-04,1950モデル 701 JEANS LOVE CANAL,127.0,0.0,0.0,0.0,0.0
71,2022-07-04,M990v3 GREY,4.0,0.0,0.0,0.0,0.0
72,2022-07-04,RUFFLE Tシャツ CRYSTAL GRAY,1.0,0.0,0.0,0.0,0.0
73,2022-07-04,SLOUCHY TYPE II トラッカージャケット NAVIGATOR PLAID,3.0,0.0,0.0,0.0,0.0
74,2022-07-04,THE COLUMN WATERLOG,16.0,0.0,0.0,0.0,0.0
75,2022-07-04,WILD FLOWER Tシャツ MEGAN STRIPE CLOUD DANCE,2.0,0.0,0.0,0.0,0.0
76,2022-07-04,CLASSIC SKINNY REVERSIBLE,22.0,0.0,0.0,0.0,0.0
77,2022-07-04,LR ユーティリティ オーバーオール WANDERING TIME,61.0,1.0,2.0,62.219031,1.0
78,2022-07-04,SUNSET 1ポケットシャツ STANDARD WHITE,13.0,0.0,1.0,0.0,0.0
79,2022-07-04,バレルジーンズ BLUE SOUTACHE,3.0,0.0,0.0,0.0,0.0
80,2022-07-04,PATCHWORK CARRY ALL,26.0,0.0,0.0,0.0,0.0
81,2022-07-04,TRAINWRECK,56.0,1.0,1.0,41.479354,1.0
82,2022-07-04,SUPER PUFFER JACKET HANS BANDANNA DRESS BLUES,1.0,0.0,0.0,0.0,0.0
83,2022-07-04,スリムフィット PREMIUMINDIGO,36.0,0.0,0.0,0.0,0.0
84,2022-07-04,LYDIA REVERSIBLE PUFFER GOLD COAST,1.0,0.0,0.0,0.0,0.0
85,2022-07-04,1965モデル 606™ SUPER SLIM WIDE OPEN,42.0,0.0,0.0,0.0,0.0
86,2022-07-04,LR TWISTED SLIM SKIRT AZURITE RINSE,36.0,0.0,0.0,0.0,0.0
87,2022-07-04,LR ユーティリティシャツ WANDERING TIME,32.0,0.0,0.0,0.0,0.0
88,2022-07-04,S/S CLASSIC CAMPER CAXIXI DUSKY CITRON,1.0,0.0,0.0,0.0,0.0
89,2022-07-04,バットウィングロゴTシャツ（レディースモデル）,8.0,0.0,0.0,0.0,0.0
90,2022-07-04,リーバイスロゴTシャツ COTTON + PATCH BLACK,2.0,0.0,0.0,0.0,0.0
91,2022-07-04,グラフィックTシャツ エンボス CAVIAR,51.0,0.0,2.0,0.0,0.0
92,2022-07-04,512™ LAGUNA BLACK,25.0,0.0,1.0,0.0,0.0
93,2022-07-04,518™ FOG,1.0,0.0,0.0,0.0,0.0
94,2022-07-04,RCI X LEVIS TWO POCKET HOODED SWEATSHIRT IN FOREST GREEN,252.0,1.0,15.0,97.317986,1.0
95,2022-07-04,SHOULDER CREW Tシャツ CRYSTAL GRAY,3.0,0.0,0.0,0.0,0.0
96,2022-07-04,SHRUNKEN トラッカージャケット SMALL FORTUNE,1.0,0.0,0.0,0.0,0.0
97,2022-07-04,PRIDE スカート OUT AND LOUD,18.0,0.0,1.0,0.0,0.0
98,2022-07-04,BY LEVIS® MADE&CRAFTED® ケープ,22.0,0.0,0.0,0.0,0.0
