,Date,Product_Name,PDP_Views,Orders,add_to_cart,Revenue,Quantity
63,2022-06-20,551Z AUTHENTIC STRAIGHT RUBBER WORM,64.0,0.0,0.0,0.0,0.0
64,2022-06-20,551Z VINTG STRGHT RINSE MOJ,41.0,0.0,0.0,0.0,0.0
65,2022-06-20,569™ ルーズストレート MIDVINTAGE,87.0,0.0,0.0,0.0,0.0
66,2022-06-20,70S ミディスカート GOLLY GEE,37.0,0.0,1.0,0.0,0.0
67,2022-06-20,80S 501® CARRIER STF RIGID,65.0,0.0,2.0,0.0,0.0
68,2022-06-20,80S 501® SHOAL,93.0,0.0,1.0,0.0,0.0
69,2022-06-20,ARE YOU READY,61.0,0.0,1.0,0.0,0.0
70,2022-06-20,BOOT LEG,47.0,0.0,3.0,0.0,0.0
71,2022-06-20,BOXER テーパー FANCY STONE,73.0,0.0,8.0,0.0,0.0
72,2022-06-20,BOXER テーパー NEW RINSE IN TOWN,64.0,0.0,0.0,0.0,0.0
73,2022-06-20,BOXER テーパー SLICK TRICK,55.0,0.0,13.0,0.0,0.0
74,2022-06-20,BY LEVI'S® MADE&CRAFTED® ロングアノラックスモック,0.0,0.0,0.0,0.0,0.0
75,2022-06-20,BY LEVIS® MADE&CRAFTED® シャツジャケット,45.0,0.0,0.0,0.0,0.0
76,2022-06-20,CLASSIC SKINNY REVERSIBLE,42.0,0.0,3.0,0.0,0.0
77,2022-06-20,CLASSIC ウエスタンシャツ STANDARD DARK WASH,67.0,0.0,0.0,0.0,0.0
78,2022-06-20,CLASSIC ウエスタンシャツ STANDARD RED CAST,46.0,0.0,0.0,0.0,0.0
79,2022-06-20,DARK NIGHT NAVY S SORBTEK 365 TWILL,60.0,0.0,0.0,0.0,0.0
80,2022-06-20,DREW ME IN,208.0,0.0,4.0,0.0,0.0
81,2022-06-20,ENGINE 67,65.0,0.0,2.0,0.0,0.0
82,2022-06-20,FIRESTARTER,126.0,0.0,1.0,0.0,0.0
83,2022-06-20,FRESH PRODUCE ボンバージャケット ORANGE TAB,43.0,0.0,0.0,0.0,0.0
84,2022-06-20,Girl’s Don’t Cry タイプIII トラッカージャケット,86.0,0.0,1.0,0.0,0.0
85,2022-06-20,HIGH LOOSE INDIGO CHARM,71.0,0.0,2.0,0.0,0.0
86,2022-06-20,HIGH LOOSE NATURAL AMBER,43.0,0.0,0.0,0.0,0.0
87,2022-06-20,HIGH LOOSE TAPER CLASS ACT,41.0,0.0,4.0,0.0,0.0
88,2022-06-20,HIGH SLIM ベルト,49.0,0.0,1.0,0.0,0.0
89,2022-06-20,HR BOYFRIEND NIGHT IS BLACK,53.0,0.0,0.0,0.0,0.0
90,2022-06-20,JACKET PANATELA JACKET,52.0,0.0,2.0,0.0,0.0
91,2022-06-20,JACKSON ワークシャツ GLAZED GINGER,46.0,0.0,1.0,0.0,0.0
92,2022-06-20,JEANS FOR WOMEN DEEP BREATH,52.0,0.0,0.0,0.0,0.0
93,2022-06-20,JEANS FOR WOMEN FIRST WASH,54.0,0.0,0.0,0.0,0.0
94,2022-06-20,JEANS FOR WOMEN STONEWARE,124.0,0.0,5.0,0.0,0.0
95,2022-06-20,JEANS FOR WOMEN TROY HORSE,82.0,0.0,1.0,0.0,0.0
96,2022-06-20,JIVE SHIP,69.0,0.0,11.0,0.0,0.0
97,2022-06-20,LETS STAY IN PJ,39.0,0.0,1.0,0.0,0.0
98,2022-06-20,LEVIS® VINTAGE CLOTHING 1947モデル 501® KATAKANA カタカナ,171.0,0.0,0.0,0.0,0.0
99,2022-06-20,LEVIS® VINTAGE CLOTHING 1960モデル 501Z THE RUMBLE,86.0,0.0,15.0,0.0,0.0
100,2022-06-20,LEVIS® VINTAGE CLOTHING INSIDE OUT 501®,238.0,0.0,0.0,0.0,0.0
101,2022-06-20,LOOSE CHINO CLIFF GREY,52.0,0.0,0.0,0.0,0.0
102,2022-06-20,LR 502™ テーパー BIG ROAD BLUE,82.0,0.0,0.0,0.0,0.0
103,2022-06-20,LR 502™ テーパー DIAMOND SEA,90.0,0.0,2.0,0.0,0.0
104,2022-06-20,LR 502™ テーパー MISSISSIPPI RIVER BLUE,78.0,0.0,2.0,0.0,0.0
105,2022-06-20,LR 505™ JEANS KEY TO THE HIGHWAY,75.0,0.0,3.0,0.0,0.0
106,2022-06-20,LR 512™ スリムテーパー STORMIEST WEATHER,57.0,0.0,0.0,0.0,0.0
107,2022-06-20,LR 550™ リラックスフィット SACRAMENTO RIVER BLUE,136.0,0.0,1.0,0.0,0.0
108,2022-06-20,LR CINCHBACK トラッカージャケット PINE GULCH CREEK,56.0,0.0,3.0,0.0,0.0
109,2022-06-20,LR HIGH LOOSE CUFFED PINE GULCH CREEK,70.0,0.0,1.0,0.0,0.0
110,2022-06-20,LR HIGH LOOSE FLARE PINE GULCH CREEK,48.0,0.0,4.0,0.0,0.0
111,2022-06-20,LR HIGH LOOSE FLAREWANDERING TIME,49.0,0.0,3.0,0.0,0.0
112,2022-06-20,LR LOW PRO NO RULES,64.0,0.0,1.0,0.0,0.0
113,2022-06-20,LR RIBCAGE BOOT SPACE CONTINUUM STRETCH,75.0,0.0,0.0,0.0,0.0
114,2022-06-20,LR TYPE II トラッカージャケット PINE GULCH CREEK,99.0,0.0,0.0,0.0,0.0
115,2022-06-20,LR TYPE II トラッカージャケット SACRAMENTO SANDS,42.0,0.0,2.0,0.0,0.0
116,2022-06-20,LR グラフィックTシャツ LOGO OATMEAL,37.0,0.0,2.0,0.0,0.0
117,2022-06-20,LR バケットハット,37.0,0.0,2.0,0.0,0.0
118,2022-06-20,LR ユーティリティ オーバーオール RUSSIAN RIVER BLUE,205.0,0.0,4.0,0.0,0.0
119,2022-06-20,LR ルーズテーパートラウザー PINE GULCH CREEK,308.0,0.0,2.0,0.0,0.0
120,2022-06-20,LVC 503B XX NEW RINSE N0603,57.0,0.0,0.0,0.0,0.0
121,2022-06-20,LVC 오렌지 탭 트러커 자켓,0.0,0.0,0.0,0.0,0.0
